Date,Amount
07/14/2025,"$1,500.00"
06/27/2025,"$2,000.00"
06/27/2025,"$2,000.00"
06/19/2025,"$1,500.00"
05/20/2025,"-$4,617.00"
05/20/2025,"-$13,571.03"
04/10/2025,"-$14,000.00"
03/27/2025,"-$25,000.00"
03/04/2025,"$20,000.00"
02/25/2025,"$1,000.00"
02/25/2025,"$5,000.00"
02/01/2025,"$8,000.00"
01/31/2025,"$20,000.00"
12/20/2024,"$8,000.00"
12/11/2024,"$3,500.00"
12/10/2024,"$3,000.00"
12/05/2024,$448.81
11/30/2024,"$3,000.00"
11/25/2024,"$2,500.00"
11/15/2024,"$1,000.00"
07/23/2024,$500.00
06/21/2024,"$2,000.00"
05/16/2024,"$3,788.55"
05/16/2024,"$16,750.46"
05/16/2024,"$9,355.76"
05/16/2024,"$11,550.97"
05/10/2024,$500.00
05/08/2024,-$153.50
04/26/2024,"$1,000.00"
04/15/2024,$500.00
04/12/2024,$500.00
03/15/2024,$500.00
02/15/2024,$500.00
01/15/2024,$250.00
12/15/2023,$250.00
12/05/2023,"-$2,500.00"
11/30/2023,"-$3,743.17"
11/15/2023,$250.00
10/15/2023,$250.00
09/27/2023,"-$106,220.12"
09/27/2023,"$106,220.12"
09/15/2023,$250.00
09/07/2023,"$147,527.95"
09/07/2023,"$12,834.37"
08/29/2023,"$2,787.08"
07/03/2023,$0.24
06/30/2023,-$0.12
04/24/2023,-$0.12
04/24/2023,$0.12
04/24/2023,"-$1,653.12"
04/24/2023,"$1,653.12"
04/24/2023,$252.57
04/24/2023,-$252.57
04/20/2023,"-$2,000.00"
04/20/2023,"-$2,000.00"
04/17/2023,"-$3,000.00"
04/17/2023,"-$3,792.11"
04/02/2023,$500.00
03/17/2023,"$1,500.00"
02/26/2023,"$3,500.00"
01/30/2023,"$1,000.00"
01/17/2023,"$1,000.00"
01/03/2023,"$2,000.00"
12/30/2022,"$1,000.00"
11/30/2022,"$1,000.00"
10/30/2022,"$1,000.00"
10/22/2022,"$1,000.00"
09/30/2022,"$1,000.00"
09/22/2022,"$6,000.00"
09/15/2022,"$55,000.00"
09/14/2022,"$20,000.00"
